"x"
"Pachygrapsus transversus"
"Crassostrea tulipa"
"Austromacoma nymphalis"
"Pomadasys peroteti"
"Pomadasys rogeri"
"Sardinella rouxi"
"Strongylura senegalensis"
"Psettodes bennetti"
"Rhinobatos cemiculus"
"Moerella distorta"
"Pelecyora isocardia"
"Marphysa sanguinea"
"Afruca tangeri"
"Balsscallichirus balssi"
"Chelon dumerili"
"Parachelon grandisquamis"
"Ephippion guttifer"
"Acanthurus monroviae"
"Antennarius pardalis"
"Arius latiscutatus"
"Lutjanus goreensis"
"Pomadasys incisus"
"Arius parkii"
"Batrachoides liberiensis"
"Rhinoptera bonasus"
"Porogobius schlegelii"
"Pseudotolithus typus"
"Sterna maxima"
NA
"Euclymene lumbricoides"
"Loripes aberrans"
"Macoma innominata"
"Volvarina ampelusica"
"Solariella monodi"
"Dosinia isocardia"
"Gibberula gruveli"
"Odostomia gradusuturae"
"Turritella brocchii"
"Dentalium senegalense"
NA
"Diplodonta diaphana"
"Terebra fernandesi"
"Tellina modica"
"Fusinus sectus"
"Turbonilla pseudomarteli"
"Nassarius webbei"
"Linga adansoni"
"Nassarius liberiensis"
"Corbula dautzenbergi"
"Nassarius pachychilus"
"Agaronia hiatula"
"Haminoea orbignyana"
"Calyptraea chinensis"
"Conus pulcher"
"Persicula persicula"
"Persicula robusta"
"Pista cristata"
"Retusa truncatula"
"Turritella ligar"
"Tellina nymphalis"
"Callichirus balssi"
"Cyathura carinata"
"Callinectes marginatus"
"Peronaea strigosa"
"Striarca lactea"
"Mesocibota allocostata"
"Euclymene oerstedii"
"Scolelepis squamata"
"Diopatra neapolitana"
"Cirriformia tentaculata"
"Petaloproctus terricolus"
"Onuphis eremita"
"Aphelochaeta marioni"
"Pachygrapsus gracilis"
"Tomopleura spiralissima"
"Avicennia nitida"
"Bufo regularis"
"Hyperolius nitidulus"
"Ptychadena mascareniensis"
"Rana occipitalis"
"Rana oxyrhynchus"
"Agama agama"
"Naja haje"
"Cyclanorbis senegalensis"
"Trionyx triunguis"
"Pterothrissus belloci"
"Arius heudeloti"
"Arius gigas"
"Halobatrachus didactylus"
"Syacium micrurum"
"Caranx latus"
"Decapterus rhonchus"
"Uraspis secunda"
"Decapterus punctatus"
"Carcharhinus limbatus"
"Carcharhinus signatus"
"Carcharhinus brevipinna"
"Carcharhinus longimanus"
"Galeocerdo cuvieri"
"Prionace glauca"
"Chaetodon hoefleri"
"Hemichromis fasciatus"
"Sardina pilchardus"
"Pellonula leonensis"
"Cynoglossus cadenati"
"Chaetodipterus goreensis"
"Fistularia petimba"
"Brachydeuterus auritus"
"Hyporamphus picarti"
