"id","kingdom","phylum","order","family","genus","species","Lon","Lat","year","month","day","datasetName","datasetId","datasetKey","photo","bibliographicCitation","speciesAccepted","authority","status"
3955,"Animalia","Chordata","Ciconiiformes","Ardeidae","Ardea","Ardea goliath","-16.302213","11.441363","2023","1","20","Marine Bird","0","0",NA,"https://observation.org/observation/262914681","Ardea goliath","Cretzschmar, 1827","accepted"
3956,"Plantae","Tracheophyta","Caryophyllales","Aizoaceae","Sesuvium","Sesuvium portulacastrum","-16.14475","11.330111","1995","12","14","Magnoliopsida","0","0",NA,"http://coicatalogue.uc.pt/specimen/COI00099255","Sesuvium portulacastrum","(Linnaeus) Linnaeus, 1759","accepted"
3957,"Plantae","Tracheophyta","Malpighiales","Rhizophoraceae","Rhizophora","Rhizophora racemosa","-16.14475","11.227889","1995","12","13","Mangrove","0","0",NA,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1560674","Rhizophora racemosa","G.Mey.","accepted"
3958,"Plantae","Tracheophyta","Malpighiales","Rhizophoraceae","Rhizophora","Rhizophora racemosa","-16.14475","11.227889","1995","12","13","Mangrove","0","0",NA,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1560673","Rhizophora racemosa","G.Mey.","accepted"
3959,"Plantae","Tracheophyta","Malpighiales","Rhizophoraceae","Rhizophora","Rhizophora racemosa","-16.14475","11.227889","1995","12","13","Mangrove","0","0",NA,"http://coicatalogue.uc.pt/specimen/COI00099242","Rhizophora racemosa","G.Mey.","accepted"
3960,"Animalia","Chordata","Accipitriformes","Pandionidae","Pandion","Pandion haliaetus","-15.633333","11.033333","2012","12","8","Marine Bird","0","0",NA,"http://tun.fi/KE.67/9930615","Pandion haliaetus","(Linnaeus, 1758)","accepted"
3961,"Animalia","Chordata","Charadriiformes","Scolopacidae","Arenaria","Arenaria interpres","-15.616667","11.4","1987","1","6","Marine Bird","0","0",NA,"http://tun.fi/KE.67/8983977","Arenaria interpres","(Linnaeus, 1758)","accepted"
3962,"Animalia","Chordata","Cetartiodactyla","Delphinidae","Tursiops","Tursiops truncatus","-16.225326","11.547434","2019","3","30","Marine Mammals","0","0",NA,"https://happywhale.com/encounter/113273","Tursiops truncatus","(Montagu, 1821)","accepted"
3963,"Animalia","Chordata","Cetartiodactyla","Delphinidae","Tursiops","Tursiops truncatus","-16.216405","11.55629","2019","11","3","Marine Mammals","0","0",NA,"https://happywhale.com/encounter/113487","Tursiops truncatus","(Montagu, 1821)","accepted"
3964,"Plantae","Tracheophyta","Malpighiales","Rhizophoraceae","Rhizophora","Rhizophora harrisonii","-16.14475","11.227889","1995","12","13","Mangrove","0","0",NA,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1560445","Rhizophora ×harrisonii","Leechman","unaccepted"
