species;photo;attribution;highQuality
Onychoprion anaethetus;Onychoprion anaethetus.jpg;Aviceda, Wikimedia Common;TRUE
Zostera noltei;Zostera noltei.jpg;inaturalist.com;TRUE
Cymodocea nodosa;Cymodocea nodosa.jpg;inaturalist.com;TRUE
Afruca tangeri;Afruca tangeri.jpg;inaturalist.com;TRUE
Torpedo panthera;Torpedo panthera.jpg;inaturalist.com;TRUE
Sphoeroides marmoratus;Sphoeroides marmoratus.jpeg;inaturalist.com;TRUE
Larus fuscus;Larus fuscus.jpg;Aviceda, Wikimedia Common;TRUE
Circus aeruginosus;Circus aeruginosus.jpg;Aviceda, Wikimedia Common;TRUE
Halodule wrightii;Halodule wrightii.jpeg;Aviceda, Wikimedia Common;TRUE
